# [grid] anti-scatter grid transmissions -- simulation-based, not calibrated (QA-A-99, #180)
# Model: VICTRE MC-GPU v1.5b (DIDSR/VICTRE_MCGPU 30b5e66cf547), Day & Dance (1983) analytical 1-D focused grid, focal length = SDD.
#   LIMITS of that model (accepted by the lead): no scatter and no fluorescence inside the grid; strip and interspace
#   attenuation use ONE mean free path each, evaluated at one energy per row (column e_mfp_kev).
# Source: tools/mcsim at commit bc14757; generated 2026-09-17 by tools/mcsim/grid_tables.py.
# Assumptions (all of them): water slab density 1.00 g/cm^3 (waterMIF 5-150 keV), slab 60 x 60 cm; broad beam 30 x 30 cm at
#   the detector, SDD 100 cm, slab exit face to detector 2 cm (vacuum); SpekPy 2.5.4 tungsten spectrum, anode 12 deg,
#   2.5 mm Al; detector = ideal energy fluence (no CsI weighting), 6 x 6 cm central region; no table, cover or off-focus.
#   Grid: lead strips (MC-GPU Lead table, nominal density) with fibre interspace modelled as polycarbonate (MC-GPU
#   Polycarbonate table, nominal density); strip thickness 50 um at 40 /cm, 36 um at 60 /cm; height = ratio * (1/freq - strip).
#   e_mfp_kev = count-weighted mean energy of the primary spectrum at the detector for that thickness and kVp.
# Tp = primary with grid / without, Ts = scatter with grid / without (same seeds); *_sem = standard error over launches.
# The first three columns follow the [grid] section of modules/gsvg/src/virtual_grid.h; the rest are extra.
ratio,tp,ts,freq_per_cm,strip_um,thickness_cm,kvp,e_mfp_kev,height_cm,tp_sem,ts_sem,spr_nogrid,spr_grid,n_primaries
6,0.790772,0.125703,40,50,10,60,42.6502,0.12,0.00100995,0.000305765,1.45247,0.230888,300038400
8,0.774431,0.0868844,40,50,10,60,42.6502,0.16,0.000806684,0.000175798,1.45247,0.162954,300038400
10,0.761284,0.0652465,40,50,10,60,42.6502,0.2,0.000721744,0.000173361,1.45247,0.124485,300038400
12,0.750432,0.0520055,40,50,10,60,42.6502,0.24,0.000534163,0.000202022,1.45247,0.100657,300038400
6,0.776736,0.155927,60,36,10,60,42.6502,0.0784,0.000873569,0.000388627,1.45247,0.291579,300038400
8,0.76434,0.103498,60,36,10,60,42.6502,0.104533,0.000741803,0.000380036,1.45247,0.196677,300038400
10,0.756917,0.0743553,60,36,10,60,42.6502,0.130667,0.000625275,0.000124689,1.45247,0.142682,300038400
12,0.75165,0.0571646,60,36,10,60,42.6502,0.1568,0.000564443,0.00021901,1.45247,0.110463,300038400
6,0.794088,0.165915,40,50,10,80,51.251,0.12,0.000352769,0.000284693,1.4522,0.303419,300038400
8,0.77815,0.109065,40,50,10,80,51.251,0.16,0.000392055,0.000233863,1.4522,0.203539,300038400
10,0.765601,0.0774988,40,50,10,80,51.251,0.2,0.000317226,0.000190115,1.4522,0.147,300038400
12,0.755342,0.0586313,40,50,10,80,51.251,0.24,0.000421585,0.000161313,1.4522,0.112723,300038400
6,0.779507,0.229377,60,36,10,80,51.251,0.0784,0.000430376,0.000348635,1.4522,0.427324,300038400
8,0.767143,0.153561,60,36,10,80,51.251,0.104533,0.000327306,0.000302105,1.4522,0.29069,300038400
10,0.760063,0.107463,60,36,10,80,51.251,0.130667,0.000432963,0.000203403,1.4522,0.205321,300038400
12,0.755186,0.0785893,60,36,10,80,51.251,0.1568,0.000408581,0.000133838,1.4522,0.151125,300038400
6,0.793572,0.222772,40,50,10,100,58.3941,0.12,0.000367467,0.00043361,1.42924,0.401218,300038400
8,0.777979,0.14851,40,50,10,100,58.3941,0.16,0.000234642,0.000274571,1.42924,0.272832,300038400
10,0.765882,0.103773,40,50,10,100,58.3941,0.2,0.000172995,0.000256977,1.42924,0.193655,300038400
12,0.756084,0.0755499,40,50,10,100,58.3941,0.24,0.000171998,0.000172791,1.42924,0.142814,300038400
6,0.780247,0.309132,60,36,10,100,58.3941,0.0784,0.000248647,0.000596021,1.42924,0.566262,300038400
8,0.767036,0.218752,60,36,10,100,58.3941,0.104533,0.000154572,0.00046659,1.42924,0.407608,300038400
10,0.759865,0.158182,60,36,10,100,58.3941,0.130667,0.000201293,0.000440512,1.42924,0.297526,300038400
12,0.755216,0.116833,60,36,10,100,58.3941,0.1568,0.000134841,0.000176046,1.42924,0.221106,300038400
6,0.796521,0.280148,40,50,10,120,64.4146,0.12,0.000578769,0.000321873,1.39825,0.491784,300038400
8,0.780712,0.193807,40,50,10,120,64.4146,0.16,0.000546394,0.000317976,1.39825,0.347108,300038400
10,0.768732,0.137842,40,50,10,120,64.4146,0.2,0.000500854,0.000300905,1.39825,0.250722,300038400
12,0.759106,0.101066,40,50,10,120,64.4146,0.24,0.000603985,0.000278663,1.39825,0.186161,300038400
6,0.78593,0.378856,60,36,10,120,64.4146,0.0784,0.000525461,0.000159335,1.39825,0.674024,300038400
8,0.770635,0.282053,60,36,10,120,64.4146,0.104533,0.000503039,0.000395388,1.39825,0.51176,300038400
10,0.76272,0.212364,60,36,10,120,64.4146,0.130667,0.000610376,0.000433735,1.39825,0.389315,300038400
12,0.757904,0.161927,60,36,10,120,64.4146,0.1568,0.000583192,0.000206349,1.39825,0.298739,300038400
6,0.794326,0.149275,40,50,20,60,45.6986,0.12,0.00146231,0.000572371,3.50836,0.659314,600076800
8,0.777738,0.101283,40,50,20,60,45.6986,0.16,0.00135683,0.000555452,3.50836,0.456886,600076800
10,0.764713,0.0752057,40,50,20,60,45.6986,0.2,0.00143908,0.000414416,3.50836,0.34503,600076800
12,0.754149,0.0590053,40,50,20,60,45.6986,0.24,0.00161778,0.000477306,3.50836,0.274498,600076800
6,0.779498,0.193924,60,36,20,60,45.6986,0.0784,0.00143294,0.000663436,3.50836,0.872812,600076800
8,0.767207,0.128803,60,36,20,60,45.6986,0.104533,0.00125753,0.000590465,3.50836,0.589005,600076800
10,0.760077,0.0914546,60,36,20,60,45.6986,0.130667,0.00138611,0.000453735,3.50836,0.422136,600076800
12,0.75477,0.0687585,60,36,20,60,45.6986,0.1568,0.00159998,0.000447192,3.50836,0.319607,600076800
6,0.793089,0.213766,40,50,20,80,55.3887,0.12,0.000973535,0.000412928,3.51956,0.948648,600076800
8,0.77737,0.142068,40,50,20,80,55.3887,0.16,0.000933678,0.000517624,3.51956,0.643214,600076800
10,0.765332,0.099678,40,50,20,80,55.3887,0.2,0.000812842,0.000385845,3.51956,0.458393,600076800
12,0.755247,0.0737146,40,50,20,80,55.3887,0.24,0.00103202,0.000256816,3.51956,0.343521,600076800
